"","X","Y","Price","Category"
"123",571285.561632,3872804.44169,19.19,"Forest"
"124",571276.548545,3872825.78083,18.62,"Forest"
"125",571282.637745,3872844.92327,629.46,"Residential"
"126",571262.338274,3872877.13498,210.6,"Residential"
"127",571268.875513,3872875.62417,193.5,"Residential"
"128",571275.943602,3872875.57727,141.12,"Residential"
"129",571281.036467,3872872.7645,138.42,"Residential"
"130",571285.438827,3872868.81881,127.8,"Residential"
"131",571290.065212,3872866.3949,126.9,"Residential"
"132",571295.954218,3872862.74215,207,"Residential"
"133",571303.280334,3872857.13232,282.78,"Residential"
"134",571311.735645,3872860.28953,78.12,"Residential"
"135",571311.366624,3872842.87205,428.22,"Residential"
"136",571327.017019,3872840.84038,170.28,"Residential"
"137",571332.015811,3872837.62071,245.34,"Residential"
"138",571341.726244,3872833.94384,117.54,"Residential"
"139",571335.983063,3872833.75188,146.7,"Residential"
"140",571324.582158,3872807.17298,178.02,"Residential"
"141",571316.94077,3872830.25891,988.02,"Residential"
"142",571318.932906,3872811.04737,246.96,"Residential"
"143",571303.182914,3872940.00356,7.16,"Forest"
"144",571280.319678,3872944.02426,30.24,"Residential"
"145",571273.902162,3872928.18163,65.34,"Residential"
"146",571290.273333,3872937.62646,1.7,"Forest"
"147",571279.491577,3872912.04455,119.88,"Residential"
"148",571283.91364,3872903.98751,57.42,"Residential"
"149",571292.85067,3872910.83995,185.04,"Residential"
"150",571303.560811,3872919.6216,46.8,"Residential"
"151",571302.968674,3872903.60092,227.52,"Residential"
"152",571309.189731,3872902.09451,46.8,"Residential"
"153",571314.344136,3872900.36326,92.34,"Residential"
"154",571330.585962,3872909.45509,12.66,"Forest"
"155",571315.74607,3872886.25431,84.78,"Residential"
"156",571322.210843,3872882.2482,89.1,"Residential"
"157",571334.34982,3872871.65374,17.64,"Residential"
"158",571339.294873,3872879.60783,228.96,"Residential"
"159",571356.188098,3872866.2392,73.98,"Residential"
"160",571351.865836,3872867.90065,94.32,"Residential"
"161",571345.630919,3872867.10545,50.4,"Residential"
"162",571352.772118,3872880.61418,10.62,"Residential"
"163",571361.697478,3872907.06941,107.58,"Forest"
"164",571373.27318,3872945.19365,39.5,"Field"
"165",571308.135497,3872951.77914,440.64,"Residential"
"166",571290.947849,3872965.76494,550.98,"Residential"
"167",571313.689358,3872969.52196,159.12,"Residential"
"168",572161.677631,3874151.18465,227.29,"Residential"
"169",572155.845112,3874088.88498,29.7,"Residential"
"170",572152.176752,3874112.36067,63.6,"Residential"
"171",572153.149555,3874008.75758,2.9,"Residential"
"172",572154.857321,3873985.32529,27.17,"Residential"
"173",572155.919581,3873967.03787,24.51,"Residential"
"174",572156.2543,3873953.03458,4.21,"Residential"
"175",572156.638786,3873940.1982,25.84,"Residential"
"176",572159.439315,3873918.87969,31.59,"Residential"
"177",572158.312697,3873901.13719,4.77,"Residential"
"178",572186.221275,3873895.39694,45.23,"Residential"
"179",572186.046938,3873885.80836,5.7,"Residential"
"180",572184.110165,3873880.39156,34.55,"Residential"
"181",572169.365252,3874111.52487,108.09,"Residential"
"182",572029.626769,3874310.62766,12.7,"Residential"
"183",572023.043811,3874313.36159,13.76,"Residential"
"184",572017.756876,3874315.59922,14.04,"Residential"
"185",572008.006646,3874320.78849,57.71,"Residential"
"186",571996.795315,3874326.24601,53.29,"Residential"
"187",571989.355954,3874329.08865,34.75,"Residential"
"188",571982.312723,3874332.66301,31.01,"Residential"
"189",571975.819538,3874336.59738,7.5,"Residential"
"190",572016.959442,3874288.90569,0.07,"Forest"
"191",572024.259152,3874296.92127,1.49,"Residential"
"192",572009.920513,3874290.1917,0.08,"Forest"
"193",572003.987828,3874292.23242,0.05,"Forest"
"194",571994.58296,3874295.27952,0.16,"Forest"
"195",571985.297377,3874299.32036,0.14,"Forest"
"196",571979.164606,3874300.73364,0.1,"Forest"
"197",571972.387676,3874304.74218,0.17,"Forest"
"198",571966.124417,3874321.37418,26.24,"Residential"
"199",571962.68269,3874307.28551,0.23,"Forest"
"200",571957.866168,3874327.17795,42.36,"Residential"
"201",571954.023145,3874310.53096,0.13,"Forest"
"202",571944.364201,3874326.39184,166.14,"Residential"
"203",571938.584124,3874327.53047,205.03,"Residential"
"204",571923.928792,3874330.06387,397.78,"Residential"
"205",571911.509224,3874340.67822,60.8,"Residential"
"206",571907.751592,3874328.92514,60.8,"Residential"
"207",571902.025697,3874332.83905,129.2,"Residential"
"208",571893.327012,3874334.15665,206.08,"Residential"
"209",571883.887588,3874335.3744,124.44,"Residential"
"210",571873.686886,3874336.56121,246.78,"Residential"
"211",571862.873602,3874337.5551,136.52,"Residential"
"212",571873.664542,3874387.01036,213.04,"Residential"
"213",571879.118889,3874382.353,113.4,"Residential"
"214",571890.072477,3874380.76333,206.56,"Residential"
"215",571901.342214,3874379.01601,92.5,"Residential"
"216",571906.385657,3874378.34239,97.2,"Residential"
"217",571911.735916,3874377.45562,90,"Residential"
"218",571917.18465,3874376.93736,54,"Residential"
"219",571922.613127,3874376.01092,162,"Residential"
"220",571928.387967,3874374.55737,99.72,"Residential"
"221",571932.965818,3874371.66195,79.5,"Residential"
"222",571945.407277,3874359.80082,45.26,"Residential"
"223",571938.566643,3874367.06737,103.58,"Residential"
"224",571950.294356,3874326.11153,149.5,"Residential"
